HHID,Parcel_ID,Field_ID,depth_bottom,Depth.range,Zone,AEZ,N_Degree,N_Minute,E_Degree,E_Minute,SSN,AcidCarbon,Acidified.Nitrogen,Total.Carbon,Total.Nitrogen,Clay,Sand,Silt,Code.y,Code.x,lat,long
3001,2,1,20,0-20cm,W. Arsi,Weyna Dega,7,24.293,38,20.368,icr116919,3.427673382,0.247972216,3.379679043,0.257966384,63.19638185,7.917253558,26.0383522,3001.2.1.20,3001.2.1.20,7.404883333,38.33946667
3001,2,2,20,0-20cm,W. Arsi,Weyna Dega,7,24.294,38,20.368,icr116921,3.345426245,0.242039447,3.280146221,0.252938198,62.04690324,7.891258085,26.28065675,3001.2.2.20,3001.2.2.20,7.4049,38.33946667
3002,1,5,20,0-20cm,W. Arsi,Weyna Dega,7,23.988,38,20.663,icr116923,3.038386998,0.222810401,2.973405924,0.233858537,62.95466059,7.435614726,23.86238073,3002.1.5.20,3002.1.5.20,7.3998,38.34438333
3002,1,9,20,0-20cm,W. Arsi,Weyna Dega,7,24.017,38,20.502,icr116925,3.62784263,0.262044548,3.520643394,0.275822542,63.8730637,6.64895321,25.78859881,3002.1.9.20,3002.1.9.20,7.400283333,38.3417
3003,2,1,20,0-20cm,W. Arsi,Weyna Dega,7,23.467,38,20.265,icr116927,2.977993028,0.213643629,2.915701233,0.223296652,60.80305647,7.93933593,24.28062546,3003.2.1.20,3003.2.1.20,7.391116667,38.33775
3003,3,1,20,0-20cm,W. Arsi,Weyna Dega,7,23.945,38,20.224,icr116929,3.111903712,0.222697253,3.03649454,0.234016169,67.21115064,6.161140914,21.05505019,3003.3.1.20,3003.3.1.20,7.399083333,38.33706667
3004,1,2,20,0-20cm,W. Arsi,Weyna Dega,7,23.654,38,20.506,icr116931,3.50020693,0.249300866,3.408079269,0.258470241,64.35110625,7.20993824,22.9660915,3004.1.2.20,3004.1.2.20,7.394233333,38.34176667
3004,1,3,20,0-20cm,W. Arsi,Weyna Dega,7,23.653,38,20.506,icr116933,3.286004861,0.235341653,3.272662508,0.245559913,61.26141607,7.822293646,25.34282019,3004.1.3.20,3004.1.3.20,7.394216667,38.34176667
3005,1,2,20,0-20cm,W. Arsi,Weyna Dega,7,23.364,38,20.876,icr116935,3.453744706,0.248240791,3.381045162,0.259156049,64.47789275,6.987583842,24.03326932,3005.1.2.20,3005.1.2.20,7.3894,38.34793333
3006,2,1,20,0-20cm,W. Arsi,Weyna Dega,7,23.163,38,20.586,icr116937,2.928695754,0.210132536,2.856324258,0.21920451,62.13154892,7.702118235,23.57319309,3006.2.1.20,3006.2.1.20,7.38605,38.3431
3007,1,3,20,0-20cm,W. Arsi,Weyna Dega,7,22.947,38,20.687,icr116940,3.062416003,0.219301447,3.010177389,0.229937163,65.29847733,6.927977905,21.36018343,3007.1.3.20,3007.1.3.20,7.38245,38.34478333
3007,1,5,20,0-20cm,W. Arsi,Weyna Dega,7,22.952,38,20.596,icr116942,3.262824826,0.237613954,3.24142331,0.248274986,60.43204991,7.952209114,25.81918852,3007.1.5.20,3007.1.5.20,7.382533333,38.34326667
