HHID,Parcel_ID,Field_ID,depth_bottom,Depth.range,Zone,AEZ,N_Degree,N_Minute,E_Degree,E_Minute,SSN,AcidCarbon,Acidified.Nitrogen,Total.Carbon,Total.Nitrogen,Clay,Sand,Silt,Code.y,Code.x,lat,long
1001,1,2,20,0-20cm,Borena,Upper Kolla,3,44.079,38,36.476,icr116151,0.917648841,0.067888222,0.964464242,0.070819931,47.81547991,27.5342275,18.28472737,1001.1.2.20,1001.1.2.20,3.73465,38.60793333
1001,1,3,20,0-20cm,Borena,Upper Kolla,3,44.654,38,36.456,icr116153,0.705957585,0.051300014,0.72711876,0.053622036,50.9084532,32.47930353,16.76507136,1001.1.3.20,1001.1.3.20,3.744233333,38.6076
1002,1,2,20,0-20cm,Borena,Upper Kolla,3,43.953,38,36.4,icr116155,1.034903579,0.073515375,1.071384784,0.076467146,49.12159233,31.11162557,21.91473868,1002.1.2.20,1002.1.2.20,3.73255,38.60666667
1003,1,2,20,0-20cm,Borena,Upper Kolla,3,44.127,38,36.373,icr116157,1.44903459,0.109840297,1.523747958,0.114636338,51.87505437,21.04774192,22.88281149,1003.1.2.20,1003.1.2.20,3.73545,38.60621667
1003,1,3,20,0-20cm,Borena,Upper Kolla,3,44.149,38,36.378,icr116159,1.713356667,0.135317809,1.76963612,0.141513563,55.99325437,13.55256485,19.75398942,1003.1.3.20,1003.1.3.20,3.735816667,38.6063
1004,1,2,20,0-20cm,Borena,Upper Kolla,3,44.04,38,36.205,icr116162,1.140558905,0.08530555,1.225254673,0.087843252,45.02772532,22.33591433,22.62180471,1004.1.2.20,1004.1.2.20,3.734,38.60341667
1004,1,5,20,0-20cm,Borena,Upper Kolla,3,44.064,38,36.273,icr116166,1.279566091,0.097131974,1.363900629,0.100549318,45.81694053,20.28555128,24.12026727,1004.1.5.20,1004.1.5.20,3.7344,38.60455
1005,1,2,20,0-20cm,Borena,Upper Kolla,3,44.226,38,36.151,icr116169,1.193144786,0.093783153,1.26161273,0.09802833,50.73203629,16.46441938,19.26533244,1005.1.2.20,1005.1.2.20,3.7371,38.60251667
1005,1,3,20,0-20cm,Borena,Upper Kolla,3,44.217,38,36.156,icr116171,1.024583147,0.077306339,1.092893772,0.080842068,52.27412632,22.02828687,20.27702971,1005.1.3.20,1005.1.3.20,3.73695,38.6026
1006,1,2,20,0-20cm,Borena,Upper Kolla,3,44.255,38,36.057,icr116173,1.332922794,0.102004013,1.385515164,0.106099392,44.7682882,26.06408938,27.22234732,1006.1.2.20,1006.1.2.20,3.737583333,38.60095
1007,1,2,20,0-20cm,Borena,Upper Kolla,3,44.019,38,36.567,icr116176,1.440556402,0.11004267,1.458217519,0.112335094,38.99315917,35.89820885,32.83862852,1007.1.2.20,1007.1.2.20,3.73365,38.60945
1007,2,1,20,0-20cm,Borena,Upper Kolla,3,44.235,38,36.616,icr116178,1.392802082,0.105559895,1.45281378,0.109947809,44.71473417,26.38350176,25.71948364,1007.2.1.20,1007.2.1.20,3.73725,38.61026667
1009,1,2,20,0-20cm,Borena,Upper Kolla,3,43.882,38,36.433,icr116183,1.333742129,0.101292667,1.395135121,0.105696062,46.36292402,24.88671701,26.11074787,1009.1.2.20,1009.1.2.20,3.731366667,38.60721667
1009,1,4,20,0-20cm,Borena,Upper Kolla,3,43.871,38,36.433,icr116185,1.353799296,0.102966043,1.3975736,0.107408898,47.52214748,23.76908359,25.77931215,1009.1.4.20,1009.1.4.20,3.731183333,38.60721667
101,1,2,20,0-20cm,Borena,Kolla,6,15.985,38,8.34,icr115841,2.639025096,0.20299392,2.597505048,0.213875374,73.1477993,8.256045793,20.25701697,101.1.2.20,101.1.2.20,6.266416667,38.139
101,1,3,20,0-20cm,Borena,Kolla,6,15.967,38,8.355,icr115843,4.056535417,0.287955954,4.25304267,0.303220055,64.56135172,7.520220956,24.64179513,101.1.3.20,101.1.3.20,6.266116667,38.13925
1010,1,4,20,0-20cm,Borena,Upper Kolla,3,44.063,38,36.344,icr116187,1.162764151,0.088750501,1.239904399,0.092450301,49.93619684,18.08628456,18.51946402,1010.1.4.20,1010.1.4.20,3.734383333,38.60573333
1010,2,1,20,0-20cm,Borena,Upper Kolla,3,44.274,38,36.255,icr116190,0.997343416,0.077380972,1.060840512,0.080805338,48.83064391,20.29484338,17.31182753,1010.2.1.20,1010.2.1.20,3.7379,38.60425
1011,1,2,20,0-20cm,Borena,Upper Kolla,3,44.202,38,36.197,icr116192,1.20786212,0.091611844,1.311951564,0.093331191,43.97527603,23.37716172,23.42965682,1011.1.2.20,1011.1.2.20,3.7367,38.60328333
1011,2,1,20,0-20cm,Borena,Upper Kolla,3,44.113,38,36.331,icr116195,1.296153599,0.095423935,1.367401036,0.09877182,47.24486127,22.88537138,23.81727436,1011.2.1.20,1011.2.1.20,3.735216667,38.60551667
1012,1,3,20,0-20cm,Borena,Upper Kolla,3,44.195,38,36.204,icr116199,1.054964339,0.079068167,1.099576271,0.082361711,51.39244318,24.4779147,20.90689116,1012.1.3.20,1012.1.3.20,3.736583333,38.6034
102,1,2,20,0-20cm,Borena,Kolla,6,15.732,38,8.626,icr115845,4.249799685,0.306367455,4.305943271,0.31947838,61.35289555,9.910761395,31.31380254,102.1.2.20,102.1.2.20,6.2622,38.14376667
103,1,2,20,0-20cm,Borena,Kolla,6,14.765,38,8.63,icr115847,2.686461537,0.191035799,2.773151673,0.20050948,74.34920551,10.40326959,19.1630643,103.1.2.20,103.1.2.20,6.246083333,38.14383333
104,1,3,20,0-20cm,Borena,Kolla,6,14.385,38,8.337,icr115849,2.994228169,0.219893004,3.313815861,0.232220126,55.54098429,8.5414669,24.54901963,104.1.3.20,104.1.3.20,6.23975,38.13895
104,1,5,20,0-20cm,Borena,Kolla,6,14.387,38,8.35,icr115851,3.282087536,0.234861366,3.862460413,0.246852493,58.0768607,8.852440229,24.93130914,104.1.5.20,104.1.5.20,6.239783333,38.13916667
105,1,2,20,0-20cm,Borena,Kolla,6,14.912,38,8.184,icr115853,2.691154272,0.20162538,2.91262385,0.211074378,55.87984581,7.849841829,23.31455826,105.1.2.20,105.1.2.20,6.248533333,38.1364
105,1,3,20,0-20cm,Borena,Kolla,6,14.921,38,8.17,icr115855,2.395660086,0.176099542,2.585741183,0.18628044,64.94156582,6.062686271,17.11432831,105.1.3.20,105.1.3.20,6.248683333,38.13616667
106,1,2,20,0-20cm,Borena,Kolla,6,14.764,38,7.887,icr115857,3.263799252,0.238174304,3.588052658,0.2520941,63.04064106,6.54983233,21.47527329,106.1.2.20,106.1.2.20,6.246066667,38.13145
107,1,2,20,0-20cm,Borena,Kolla,6,14.557,38,7.666,icr115861,3.359793631,0.245338522,3.52308884,0.260569649,70.24408403,5.994315259,18.16828472,107.1.2.20,107.1.2.20,6.242616667,38.12776667
107,1,3,20,0-20cm,Borena,Kolla,6,14.557,38,7.662,icr115863,3.246086141,0.235184831,3.424781678,0.248165457,66.61096622,7.114536792,19.85383252,107.1.3.20,107.1.3.20,6.242616667,38.1277
108,1,2,20,0-20cm,Borena,Kolla,6,14.687,38,7.668,icr115865,3.166826165,0.229740414,3.219714913,0.240244932,69.32438262,6.769606474,19.97505552,108.1.2.20,108.1.2.20,6.244783333,38.1278
109,1,3,20,0-20cm,Borena,Kolla,6,8.07,38,8.07,icr115871,4.02538454,0.297831786,4.100005214,0.316319111,75.9478897,5.562827628,20.56542928,109.1.3.20,109.1.3.20,6.1345,38.1345
110,1,2,20,0-20cm,Borena,Kolla,6,14.038,38,8.02,icr115873,3.870234516,0.29058788,4.02388917,0.30952198,75.68742361,5.169451843,19.97792354,110.1.2.20,110.1.2.20,6.233966667,38.13366667
110,2,1,20,0-20cm,Borena,Kolla,6,14.083,38,7.851,icr115875,3.732016265,0.279013618,3.90175816,0.296912067,74.98484958,5.456823452,20.09007828,110.2.1.20,110.2.1.20,6.234716667,38.13085
1101,1,2,20,0-20cm,Borena,Upper Kolla,3,58.162,38,27.196,icr116201,1.004703023,0.072704075,1.033470468,0.075801058,60.06970284,19.371044,16.09507879,1101.1.2.20,1101.1.2.20,3.969366667,38.45326667
1102,1,2,20,0-20cm,Borena,Upper Kolla,3,58.673,38,27.218,icr116203,1.29934751,0.092455232,1.329661911,0.095826164,62.61039386,15.04918905,16.44145815,1102.1.2.20,1102.1.2.20,3.977883333,38.45363333
1102,1,3,20,0-20cm,Borena,Upper Kolla,3,58.698,38,27.224,icr116205,1.49351397,0.108618915,1.50856179,0.112839885,64.13473573,12.66451489,17.33266676,1102.1.3.20,1102.1.3.20,3.9783,38.45373333
1103,1,2,20,0-20cm,Borena,Upper Kolla,3,58.683,38,27.269,icr116207,1.668182414,0.119270474,1.694636529,0.124125284,66.14317428,12.75860583,17.87237836,1103.1.2.20,1103.1.2.20,3.97805,38.45448333
1105,1,2,20,0-20cm,Borena,Upper Kolla,3,58.347,38,27.748,icr116209,1.363526213,0.097979622,1.379165654,0.102196305,63.87791788,15.0520414,18.11514926,1105.1.2.20,1105.1.2.20,3.97245,38.46246667
1105,2,1,20,0-20cm,Borena,Upper Kolla,3,58.306,38,27.75,icr116211,1.195664421,0.087656802,1.209580658,0.090777764,64.80853034,13.85210452,14.92735023,1105.2.1.20,1105.2.1.20,3.971766667,38.4625
1106,2,1,20,0-20cm,Borena,Upper Kolla,3,57.381,38,27.884,icr116213,1.16548312,0.089905403,1.16768572,0.093718736,65.40734922,12.7064748,14.78428689,1106.2.1.20,1106.2.1.20,3.95635,38.46473333
1107,2,1,20,0-20cm,Borena,Upper Kolla,3,57.931,38,27.434,icr116217,1.168133739,0.086462839,1.183303432,0.089968845,65.3090187,14.23569955,14.84482165,1107.2.1.20,1107.2.1.20,3.965516667,38.45723333
1108,1,2,20,0-20cm,Borena,Upper Kolla,3,58.262,38,27.784,icr116219,1.144471021,0.081767344,1.169366016,0.085397725,60.63119021,19.03868332,18.01079764,1108.1.2.20,1108.1.2.20,3.971033333,38.46306667
111,1,2,20,0-20cm,Borena,Kolla,6,13.606,38,7.654,icr115877,4.27979754,0.324550963,4.387222503,0.34690284,76.43284969,4.831581779,19.93177922,111.1.2.20,111.1.2.20,6.226766667,38.12756667
111,2,1,20,0-20cm,Borena,Kolla,6,13.628,38,7.609,icr115879,2.455840669,0.183006292,2.471583585,0.193360341,61.04074617,16.91666299,24.44996546,111.2.1.20,111.2.1.20,6.227133333,38.12681667
1110,1,2,20,0-20cm,Borena,Upper Kolla,3,57.727,38,29.142,icr116223,1.28785701,0.094420334,1.325211961,0.09839097,61.91291818,15.31067907,16.57751774,1110.1.2.20,1110.1.2.20,3.962116667,38.4857
1111,1,2,20,0-20cm,Borena,Upper Kolla,3,57.837,38,28.753,icr116226,1.41213223,0.104671084,1.419056043,0.109850229,65.37244448,13.37841818,16.34386351,1111.1.2.20,1111.1.2.20,3.96395,38.47921667
1111,1,4,20,0-20cm,Borena,Upper Kolla,3,57.705,38,29.12,icr116229,1.851645134,0.137985892,1.899180433,0.144541396,65.34986223,12.381825,18.42264128,1111.1.4.20,1111.1.4.20,3.96175,38.48533333
1112,1,2,20,0-20cm,Borena,Upper Kolla,3,58.298,38,27.668,icr116232,2.021959886,0.148080141,2.087185935,0.153353648,63.33454608,12.05257559,21.11710633,1112.1.2.20,1112.1.2.20,3.971633333,38.46113333
1112,1,3,20,0-20cm,Borena,Upper Kolla,3,58.299,38,27.664,icr116234,1.477329679,0.107779684,1.495916752,0.111957099,63.83395235,13.28447475,17.33906901,1112.1.3.20,1112.1.3.20,3.97165,38.46106667
112,2,1,20,0-20cm,Borena,Kolla,6,14.132,38,7.832,icr115881,3.828414813,0.286219845,4.006188047,0.298291145,62.49079287,8.653662081,28.49799132,112.2.1.20,112.2.1.20,6.235533333,38.13053333
112,3,1,20,0-20cm,Borena,Kolla,6,14.132,38,7.828,icr115883,2.278291356,0.16244341,2.331878451,0.170517059,63.52173829,12.41755869,21.8045496,112.3.1.20,112.3.1.20,6.235533333,38.13046667
1201,1,2,20,0-20cm,Borena,Weyna Dega,5,35.537,38,12.933,icr116237,2.294488071,0.196624293,2.360846293,0.213627865,80.90292083,3.389346123,9.817322159,1201.1.2.20,1201.1.2.20,5.592283333,38.21555
1202,1,2,20,0-20cm,Borena,Weyna Dega,5,35.652,38,13.249,icr116240,2.254818667,0.176871484,2.418244096,0.190757955,70.34779512,6.507865306,15.99799583,1202.1.2.20,1202.1.2.20,5.5942,38.22081667
1203,1,2,20,0-20cm,Borena,Weyna Dega,5,35.731,38,13.347,icr116245,3.386601321,0.258801849,3.491468912,0.276704862,72.76612424,7.754115388,18.41067286,1203.1.2.20,1203.1.2.20,5.595516667,38.22245
1203,1,4,20,0-20cm,Borena,Weyna Dega,5,37.119,38,13.332,icr116247,2.246309388,0.169784525,2.337160532,0.181078703,67.22603377,9.903561497,17.92454882,1203.1.4.20,1203.1.4.20,5.61865,38.2222
1204,1,2,20,0-20cm,Borena,Weyna Dega,5,35.575,38,13.754,icr116249,2.039216914,0.15798706,2.137823686,0.168562292,65.51818713,8.760817837,17.10032705,1204.1.2.20,1204.1.2.20,5.592916667,38.22923333
1206,1,2,20,0-20cm,Borena,Weyna Dega,5,34.963,38,13.139,icr116256,2.710761903,0.210641074,2.838883152,0.224906769,64.42125983,7.15558166,19.59223661,1206.1.2.20,1206.1.2.20,5.582716667,38.21898333
1207,1,2,20,0-20cm,Borena,Weyna Dega,5,34.618,38,13.033,icr116258,3.014381159,0.234508398,3.120198784,0.243835864,60.01836296,8.98095706,20.12363802,1207.1.2.20,1207.1.2.20,5.576966667,38.21721667
1208,2,1,20,0-20cm,Borena,Weyna Dega,5,34.759,38,12.602,icr116261,2.933731984,0.220956411,3.068811897,0.235669258,69.82525102,7.047882029,16.60267087,1208.2.1.20,1208.2.1.20,5.579316667,38.21003333
1208,2,3,20,0-20cm,Borena,Weyna Dega,5,34.794,38,12.634,icr116263,2.646368092,0.204089455,2.750377519,0.218868759,72.49920696,7.147573458,16.06473139,1208.2.3.20,1208.2.3.20,5.5799,38.21056667
1209,1,2,20,0-20cm,Borena,Weyna Dega,5,35.019,38,12.671,icr116265,1.821839349,0.13881545,1.893869827,0.147948888,70.67083269,9.938269649,12.99972046,1209.1.2.20,1209.1.2.20,5.58365,38.21118333
1209,2,1,20,0-20cm,Borena,Weyna Dega,5,35.175,38,12.448,icr116268,1.797219047,0.14501262,1.865289403,0.155641362,73.7007767,5.985738939,10.12492401,1209.2.1.20,1209.2.1.20,5.58625,38.20746667
1210,1,2,20,0-20cm,Borena,Weyna Dega,5,33.932,38,12.349,icr116270,2.327675884,0.187090477,2.430366554,0.202045948,73.97226784,5.924000184,13.21748707,1210.1.2.20,1210.1.2.20,5.565533333,38.20581667
1211,2,1,20,0-20cm,Borena,Weyna Dega,5,34.395,38,12.227,icr116273,2.797019936,0.223659791,2.884872359,0.242152627,68.74020144,5.711975982,17.37301025,1211.2.1.20,1211.2.1.20,5.57325,38.20378333
1211,2,2,20,0-20cm,Borena,Weyna Dega,5,34.589,38,12.271,icr116275,2.809585559,0.216259002,2.937473691,0.229336054,63.73242849,8.781882547,20.50957343,1211.2.2.20,1211.2.2.20,5.576483333,38.20451667
1212,1,2,20,0-20cm,Borena,Weyna Dega,5,34.456,38,12.609,icr116277,2.249749424,0.170333632,2.374888159,0.18098571,65.41629806,11.2532835,19.0038529,1212.1.2.20,1212.1.2.20,5.574266667,38.21015
1212,1,3,20,0-20cm,Borena,Weyna Dega,5,34.458,38,12.608,icr116279,1.721157927,0.130432998,1.802854561,0.138142161,59.2677517,14.52260096,19.05764174,1212.1.3.20,1212.1.3.20,5.5743,38.21013333
1301,1,2,20,0-20cm,Borena,Weyna Dega,5,22.715,38,17.673,icr116281,1.390314053,0.105812711,1.470692325,0.111742326,61.25588659,15.40801121,15.36139041,1301.1.2.20,1301.1.2.20,5.378583333,38.29455
1301,2,1,20,0-20cm,Borena,Weyna Dega,5,23.003,38,17.363,icr116283,1.121837724,0.086164231,1.207249079,0.091443893,60.8815953,14.91876776,12.56376579,1301.2.1.20,1301.2.1.20,5.383383333,38.28938333
1302,1,2,20,0-20cm,Borena,Weyna Dega,5,22.28,38,17.247,icr116286,0.967269917,0.075535764,1.039701411,0.079467443,58.91386781,14.1625578,9.924590746,1302.1.2.20,1302.1.2.20,5.371333333,38.28745
