HHID,Parcel_ID,Field_ID,depth_bottom,Depth.range,Zone,AEZ,N_Degree,N_Minute,E_Degree,E_Minute,SSN,AcidCarbon,Acidified.Nitrogen,Total.Carbon,Total.Nitrogen,Clay,Sand,Silt,Code.y,Code.x,lat,long
5801,1,3,20,0-20cm,E. Wellega,Upper Kola,9,1.236,36,22.57,icr118160,2.575801513,0.201007512,2.629837044,0.210962637,60.23399952,8.388713309,19.28053936,5801.1.3.20,5801.1.3.20,9.0206,36.37616667
5801,1,5,20,0-20cm,E. Wellega,Upper Kola,9,1.229,36,22.562,icr118162,2.70234317,0.20912268,2.766176441,0.218881853,58.63671688,9.64008455,21.53401584,5801.1.5.20,5801.1.5.20,9.020483333,36.37603333
5802,1,2,20,0-20cm,E. Wellega,Upper Kola,9,1.125,36,22.873,icr118164,4.16666084,0.326191427,4.607816506,0.337901901,56.84517292,9.534715189,30.9538573,5802.1.2.20,5802.1.2.20,9.01875,36.38121667
5802,1,3,20,0-20cm,E. Wellega,Upper Kola,9,1.125,36,22.872,icr118166,2.523528457,0.202648897,2.621515892,0.207959968,46.22146505,13.25675633,28.67933657,5802.1.3.20,5802.1.3.20,9.01875,36.3812
5803,1,4,20,0-20cm,E. Wellega,Upper Kola,9,1.052,36,22.757,icr118168,4.550864513,0.348958059,4.622315193,0.367715408,59.34888035,8.043063905,26.08934441,5803.1.4.20,5803.1.4.20,9.017533333,36.37928333
5803,1,6,20,0-20cm,E. Wellega,Upper Kola,9,1.054,36,22.776,icr118169,4.278435366,0.328240441,4.386849329,0.345170329,56.91817398,9.458931288,27.86906179,5803.1.6.20,5803.1.6.20,9.017566667,36.3796
5804,1,4,20,0-20cm,E. Wellega,Upper Kola,9,1.059,36,22.94,icr118171,2.679848898,0.213009573,2.683227681,0.219757822,48.9454225,15.12706623,27.46357148,5804.1.4.20,5804.1.4.20,9.01765,36.38233333
5804,1,6,20,0-20cm,E. Wellega,Upper Kola,9,1.044,36,22.946,icr118173,1.967059768,0.160756362,2.003463771,0.163516128,43.47281117,14.27858103,24.0524097,5804.1.6.20,5804.1.6.20,9.0174,36.38243333
5805,1,2,20,0-20cm,E. Wellega,Upper Kola,9,1.243,36,23,icr118175,5.97434579,0.476446338,6.179820805,0.498490152,54.1817631,8.190972225,36.84235534,5805.1.2.20,5805.1.2.20,9.020716667,36.38333333
5805,2,3,20,0-20cm,E. Wellega,Upper Kola,9,1.205,36,23.507,icr118176,3.435935312,0.271186194,3.4747584,0.280556175,47.82780354,12.86385103,31.62861446,5805.2.3.20,5805.2.3.20,9.020083333,36.39178333
5806,1,2,20,0-20cm,E. Wellega,Upper Kola,9,1.329,36,23.482,icr118178,3.626444753,0.287730734,3.653163159,0.300554952,52.17292611,10.42958071,28.32904067,5806.1.2.20,5806.1.2.20,9.02215,36.39136667
5806,1,3,20,0-20cm,E. Wellega,Upper Kola,9,1.311,36,23.451,icr118180,3.292568882,0.253860576,3.319679955,0.2634017,52.5220684,13.41122221,28.95761781,5806.1.3.20,5806.1.3.20,9.02185,36.39085
5807,1,2,20,0-20cm,E. Wellega,Upper Kola,9,1.233,36,23.575,icr118182,4.866824502,0.37236119,5.180316071,0.394370229,67.54461694,7.082297924,23.93811441,5807.1.2.20,5807.1.2.20,9.02055,36.39291667
5807,2,1,20,0-20cm,E. Wellega,Upper Kola,9,1.249,36,23.635,icr118184,2.663964453,0.217722921,2.645594092,0.223652547,47.46976311,15.23527595,29.21275098,5807.2.1.20,5807.2.1.20,9.020816667,36.39391667
5808,1,3,20,0-20cm,E. Wellega,Upper Kola,9,1.245,36,23.589,icr118186,4.013378494,0.318969655,4.051761509,0.334673954,59.34564482,9.251538579,25.40644107,5808.1.3.20,5808.1.3.20,9.02075,36.39315
5808,2,1,20,0-20cm,E. Wellega,Upper Kola,9,1.244,36,23.653,icr118188,2.877525941,0.230332884,2.878273156,0.236721377,46.28445157,15.79388021,31.05991283,5808.2.1.20,5808.2.1.20,9.020733333,36.39421667
5809,1,5,20,0-20cm,E. Wellega,Upper Kola,9,0.968,36,23.903,icr118191,3.054951509,0.242629572,3.094128127,0.253298261,54.78676262,11.72070502,25.99437793,5809.1.5.20,5809.1.5.20,9.016133333,36.39838333
5811,1,3,20,0-20cm,E. Wellega,Upper Kola,9,1.383,36,22.899,icr118197,2.607478157,0.217253753,2.602909955,0.222061254,49.53277396,10.64346114,24.57289598,5811.1.3.20,5811.1.3.20,9.02305,36.38165
5811,1,5,20,0-20cm,E. Wellega,Upper Kola,9,1.383,36,23.912,icr118199,3.073727532,0.25370652,3.053647192,0.264824205,48.84627904,9.676035882,27.0140819,5811.1.5.20,5811.1.5.20,9.02305,36.39853333
5812,1,5,20,0-20cm,E. Wellega,Upper Kola,9,1.299,36,24.297,icr118201,3.319780879,0.257044393,3.3799424,0.270162332,66.43464484,7.534849003,19.37176742,5812.1.5.20,5812.1.5.20,9.02165,36.40495
5812,1,6,20,0-20cm,E. Wellega,Upper Kola,9,1.285,36,24.296,icr118203,2.584839737,0.20034347,2.649272799,0.212171605,66.84715445,7.792423687,17.35106031,5812.1.6.20,5812.1.6.20,9.021416667,36.40493333
5901,1,4,20,0-20cm,E. Wellega,Weyna Dega,9,11.747,36,29.244,icr118205,4.303925097,0.348083309,4.359692261,0.380137836,83.70356163,3.258661052,14.38594509,5901.1.4.20,5901.1.4.20,9.195783333,36.4874
5901,1,5,20,0-20cm,E. Wellega,Weyna Dega,9,11.758,36,29.257,icr118207,4.296174172,0.348829133,4.351798749,0.381608142,82.1473874,3.298532351,14.46134084,5901.1.5.20,5901.1.5.20,9.195966667,36.48761667
5902,2,1,20,0-20cm,E. Wellega,Weyna Dega,9,11.599,36,29.19,icr118209,3.983031323,0.315856119,4.046725984,0.34513493,77.46574945,4.197925762,16.54683312,5902.2.1.20,5902.2.1.20,9.193316667,36.4865
5902,4,1,20,0-20cm,E. Wellega,Weyna Dega,9,11.554,36,29.202,icr118211,5.95735252,0.463961032,6.008477538,0.5072916,82.60847301,3.436343553,17.54692253,5902.4.1.20,5902.4.1.20,9.192566667,36.4867
5903,1,11,20,0-20cm,E. Wellega,Weyna Dega,9,11.662,36,28.908,icr118215,4.823409339,0.382545201,4.867606154,0.416835598,83.96495831,3.36508974,14.20296139,5903.1.11.20,5903.1.11.20,9.194366667,36.4818
5903,1,8,20,0-20cm,E. Wellega,Weyna Dega,9,11.644,36,28.927,icr118213,4.845078954,0.387019124,4.896021001,0.424165743,84.3078977,3.154116847,14.27875526,5903.1.8.20,5903.1.8.20,9.194066667,36.48211667
5904,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,11.466,36,28.881,icr118217,5.198629947,0.412976883,5.20956509,0.450408351,83.89461598,3.340934697,15.61346427,5904.1.2.20,5904.1.2.20,9.1911,36.48135
5904,1,5,20,0-20cm,E. Wellega,Weyna Dega,9,11.468,36,28.872,icr118220,4.53096605,0.361529199,4.509450143,0.39731832,93.48718968,2.51048481,10.99193042,5904.1.5.20,5904.1.5.20,9.191133333,36.4812
5905,1,4,20,0-20cm,E. Wellega,Weyna Dega,9,11.27,36,29.22,icr118223,4.50838914,0.354114029,4.535058188,0.388932085,91.71843061,2.574706673,10.61646808,5905.1.4.20,5905.1.4.20,9.187833333,36.487
5905,2,1,20,0-20cm,E. Wellega,Weyna Dega,9,11.286,36,29.246,icr118225,4.272117848,0.336989017,4.32659459,0.367253468,84.51537247,3.4542877,14.0946291,5905.2.1.20,5905.2.1.20,9.1881,36.48743333
5906,1,4,20,0-20cm,E. Wellega,Weyna Dega,9,11.199,36,28.883,icr118227,4.103094126,0.332308451,4.119447349,0.361195557,81.71761559,3.66969268,14.53303162,5906.1.4.20,5906.1.4.20,9.18665,36.48138333
5906,2,1,20,0-20cm,E. Wellega,Weyna Dega,9,11.123,36,28.71,icr118229,5.032705766,0.396597555,5.13281009,0.432631704,79.36045148,3.738903537,17.47229272,5906.2.1.20,5906.2.1.20,9.185383333,36.4785
5907,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,11.223,36,28.338,icr118231,4.699897256,0.368716494,4.779920446,0.40142838,80.81080632,3.87237986,16.00642999,5907.1.2.20,5907.1.2.20,9.18705,36.4723
5907,1,8,20,0-20cm,E. Wellega,Weyna Dega,9,11.221,36,28.338,icr118233,5.025319368,0.38400728,5.274738715,0.416453361,77.9503821,4.475743491,19.12385154,5907.1.8.20,5907.1.8.20,9.187016667,36.4723
5908,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,11.181,36,28.543,icr118235,4.80956683,0.383285896,4.890127854,0.41967815,80.34635935,3.673752695,16.85155322,5908.1.2.20,5908.1.2.20,9.18635,36.47571667
5908,1,7,20,0-20cm,E. Wellega,Weyna Dega,9,11.145,36,28.559,icr118237,4.513855775,0.360570942,4.571919781,0.39435933,82.01928267,3.547174104,15.77391454,5908.1.7.20,5908.1.7.20,9.18575,36.47598333
5909,1,5,20,0-20cm,E. Wellega,Weyna Dega,9,10.442,36,28.272,icr118239,5.073829725,0.399741059,5.144856053,0.434723094,79.48228827,3.845911281,17.46466713,5909.1.5.20,5909.1.5.20,9.174033333,36.4712
5909,3,2,20,0-20cm,E. Wellega,Weyna Dega,9,10.44,36,28.271,icr118241,4.296428248,0.344336115,4.326934821,0.378542786,86.96093582,3.029464689,13.2790247,5909.3.2.20,5909.3.2.20,9.174,36.47118333
5910,1,11,20,0-20cm,E. Wellega,Weyna Dega,9,10.951,36,28.411,icr118245,4.690573438,0.374379584,4.764179394,0.40710609,81.21128819,3.714467693,15.88035128,5910.1.11.20,5910.1.11.20,9.182516667,36.47351667
5910,1,8,20,0-20cm,E. Wellega,Weyna Dega,9,10.95,36,28.439,icr118243,4.507409643,0.354067878,4.596159836,0.384460576,77.98146805,4.278606604,17.75036619,5910.1.8.20,5910.1.8.20,9.1825,36.47398333
5911,1,5,20,0-20cm,E. Wellega,Weyna Dega,9,10.98,36,28.519,icr118247,4.616470928,0.364855494,4.678889309,0.397457887,78.07998748,4.102938208,18.80956161,5911.1.5.20,5911.1.5.20,9.183,36.47531667
5911,1,6,20,0-20cm,E. Wellega,Weyna Dega,9,10.98,36,28.512,icr118249,4.744447135,0.374558451,4.811131695,0.407864795,79.07807582,3.991909064,18.65264634,5911.1.6.20,5911.1.6.20,9.183,36.4752
5912,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,10.875,36,28.496,icr118251,4.17657451,0.318906554,4.666471078,0.345011398,73.26156948,5.705055178,22.93642352,5912.1.2.20,5912.1.2.20,9.18125,36.47493333
5912,1,3,20,0-20cm,E. Wellega,Weyna Dega,9,10.862,36,28.497,icr118253,4.81533713,0.383730574,4.874188793,0.419501723,81.0321873,3.447753796,16.56089086,5912.1.3.20,5912.1.3.20,9.181033333,36.47495
6001,1,6,20,0-20cm,E. Wellega,Upper Kola,9,11.13,36,24.552,icr118255,5.418325289,0.426495059,5.701941739,0.460933989,74.14917486,4.027428995,18.6603155,6001.1.6.20,6001.1.6.20,9.1855,36.4092
6002,1,5,20,0-20cm,E. Wellega,Upper Kola,9,11.07,36,24.361,icr118258,3.813037219,0.31045537,3.85888049,0.338766567,81.9258233,3.656639378,14.22258052,6002.1.5.20,6002.1.5.20,9.1845,36.40601667
6004,1,5,20,0-20cm,E. Wellega,Upper Kola,9,10.164,36,24.548,icr118262,3.575780097,0.277182377,3.681951464,0.297512375,78.9212081,4.924604622,15.28453847,6004.1.5.20,6004.1.5.20,9.1694,36.40913333
6004,1,7,20,0-20cm,E. Wellega,Upper Kola,9,10.167,36,24.531,icr118263,3.98587571,0.307656158,4.056669454,0.330549507,78.32118445,5.077952892,16.73094199,6004.1.7.20,6004.1.7.20,9.16945,36.40885
6007,1,4,20,0-20cm,E. Wellega,Upper Kola,9,10.387,36,25.233,icr118265,4.913157158,0.387314893,4.954042047,0.423645322,83.02515532,3.378686854,16.06400424,6007.1.4.20,6007.1.4.20,9.173116667,36.42055
6007,2,2,20,0-20cm,E. Wellega,Upper Kola,9,10.393,36,25.223,icr118266,4.701244469,0.368329973,4.768562647,0.399638996,77.83245713,4.341550562,19.33037864,6007.2.2.20,6007.2.2.20,9.173216667,36.42038333
6008,2,1,20,0-20cm,E. Wellega,Upper Kola,9,10.24,36,25.181,icr118268,4.392333149,0.346935928,4.460453654,0.373364278,78.37478384,4.665593219,17.10497656,6008.2.1.20,6008.2.1.20,9.170666667,36.41968333
6008,4,1,20,0-20cm,E. Wellega,Upper Kola,9,10.604,36,25.203,icr118270,4.663406332,0.370321334,4.677332521,0.399171047,79.23368418,4.448038006,17.54683081,6008.4.1.20,6008.4.1.20,9.176733333,36.42005
6009,1,4,20,0-20cm,E. Wellega,Upper Kola,9,10.226,36,24.565,icr118272,3.755606524,0.298035671,3.835340523,0.321538443,79.75654872,4.449993712,14.26237268,6009.1.4.20,6009.1.4.20,9.170433333,36.40941667
6011,1,11,20,0-20cm,E. Wellega,Upper Kola,9,9.513,36,24.696,icr118279,2.700589429,0.225044462,2.769955007,0.246713699,85.28550717,3.15826428,11.4390762,6011.1.11.20,6011.1.11.20,9.15855,36.4116
6011,1,5,20,0-20cm,E. Wellega,Upper Kola,9,9.514,36,24.694,icr118277,3.235167963,0.266701441,3.297311424,0.291470738,83.09523166,3.440021215,13.04537664,6011.1.5.20,6011.1.5.20,9.158566667,36.41156667
6012,1,3,20,0-20cm,E. Wellega,Upper Kola,9,9.279,36,24.597,icr118281,4.190177327,0.33931099,4.236640562,0.369264787,82.19153441,3.45757097,14.3400645,6012.1.3.20,6012.1.3.20,9.15465,36.40995
6012,1,9,20,0-20cm,E. Wellega,Upper Kola,9,9.319,36,24.628,icr118283,4.63765405,0.365758738,4.714224327,0.394414461,75.16590176,4.703599789,19.23013143,6012.1.9.20,6012.1.9.20,9.155316667,36.41046667
6101,2,1,20,0-20cm,E. Wellega,Weyna Dega,9,14.36,36,56.1,icr118285,3.20772838,0.251664999,3.251744809,0.269115064,83.33331951,4.526777632,12.41962321,6101.2.1.20,6101.2.1.20,9.239333333,36.935
6101,2,3,20,0-20cm,E. Wellega,Weyna Dega,9,14.351,36,56.105,icr118287,3.636766549,0.2850468,3.681757964,0.304392206,82.62374166,4.263061541,12.52957418,6101.2.3.20,6101.2.3.20,9.239183333,36.93508333
6102,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,14.108,36,56.121,icr118289,3.501932243,0.281649308,3.514106492,0.301733744,84.53877232,3.813690148,11.51205784,6102.1.2.20,6102.1.2.20,9.235133333,36.93535
6103,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,13.938,36,56.12,icr118292,3.934313293,0.315559574,3.955504066,0.33672317,77.16447206,4.338011425,13.77289563,6103.1.2.20,6103.1.2.20,9.2323,36.93533333
6104,1,2,20,0-20cm,E. Wellega,Weyna Dega,9,13.73,36,56.243,icr118294,3.388348207,0.270871664,3.418380887,0.290390196,82.88897059,4.203737574,12.51616337,6104.1.2.20,6104.1.2.20,9.228833333,36.93738333
6105,1,8,20,0-20cm,E. Wellega,Weyna Dega,9,13.419,36,56.177,icr118297,3.332811739,0.268818079,3.334949718,0.287601676,84.1190107,4.08079723,11.83324147,6105.1.8.20,6105.1.8.20,9.22365,36.93628333
